store_id,uptime_last_week,downtime_last_week
2570905277901393,93:54:54,31:08:58
16606301345740600,128:41:49,00:00:00
18176576077807854,49:38:46,18:09:54
20876078165737550,128:58:50,00:31:11
21324801088409750,60:17:13,03:52:45
22284400831843180,108:01:18,00:01:50
23037829828311628,133:20:17,00:09:25
25356420447065853,47:43:50,00:56:46
26346307409368308,87:25:41,15:11:47
33890589481707677,23:15:52,05:23:01
40240019127582819,40:03:50,17:34:57
40305274657202790,03:54:44,91:39:08
41103368216673773,34:54:44,08:37:19
43648085180404513,01:49:29,37:31:44
54489779683803308,98:47:58,08:01:11
55151290366655015,29:06:25,05:59:53
55531008172952663,00:00:00,39:20:42
56229334079274642,42:04:17,11:45:52
58390747102684963,07:01:56,88:01:54
60533681262958240,03:59:28,23:59:05
64920356735768709,22:55:14,04:11:50
71642071084075706,32:54:01,98:23:32
81559780630790716,04:03:16,27:40:40
81706403479954977,03:04:38,58:02:45
82665482356362548,77:52:59,09:12:09
84556309993044773,35:09:11,39:36:26
86280978327987306,23:30:40,53:24:13
87946307455185718,77:10:12,35:04:56
90748735992987823,106:00:01,12:07:27
98968564618185222,21:16:03,49:20:27
101309509464394483,23:05:42,112:33:22
107097686070974319,99:47:10,12:04:29
107274698920910512,91:15:04,15:43:37
108258734115101969,85:47:52,00:09:32
114551850046024710,32:59:23,00:00:00
117383178898485873,43:17:05,09:18:01
119434102936925358,37:59:36,12:37:18
126240136410779229,108:18:05,67:44:31
129946501323005459,23:44:58,46:03:40
140426302414450911,29:10:08,17:02:44
145417959116960440,01:03:31,27:30:18
145932111898266027,123:36:57,03:59:14
147034955688321174,01:06:27,45:25:14
148103440192678691,58:44:24,77:46:42
150719494401923102,41:51:31,15:22:09
152977603852070841,23:07:24,63:58:15
155313638600073426,85:51:43,21:18:17
156529009532176037,76:15:25,58:48:01
161284159705101174,47:44:51,11:57:31
163605270147516691,14:00:16,112:47:47
168921235812740107,106:51:12,06:58:32
169228895931457980,29:30:32,78:15:13
172112775132029564,67:47:20,01:30:29
173008600959739084,102:05:52,06:03:11
174082200375603286,106:39:34,06:01:55
178239698550477108,108:52:17,00:57:12
186027590898392813,39:18:40,00:37:27
195848896712461417,11:02:23,77:50:56
199260688075265634,47:56:23,65:32:33
217234380669414232,32:04:04,08:30:18
220388773230587556,128:48:22,01:22:38
221640060735411187,32:20:55,02:24:15
222250116281386738,128:50:55,00:40:35
230886630117100654,19:06:23,108:21:57
231334548188799266,44:17:46,12:18:54
231926578378663872,48:42:56,00:00:00
236628194444457636,106:35:41,01:00:03
241881995341951220,87:57:59,19:02:40
245176429888429088,04:04:03,52:31:58
245857556228995031,24:42:44,30:59:10
252637428915843079,93:37:01,31:04:08
255281555607428387,106:44:50,10:01:27
259693267266088361,106:44:12,00:00:00
261116786802362432,22:30:16,47:38:34
262841265877764950,77:52:59,09:12:09
267404321924500393,106:49:07,00:02:53
274110167960305880,128:41:17,07:46:44
284503359166357286,37:27:02,00:00:00
288474835112200401,74:03:17,59:47:43
290952689368418289,18:09:59,37:26:42
293857813278950485,00:00:00,107:48:40
296582754573075709,46:56:00,05:03:10
298380606950830017,106:44:02,15:01:57
299634262919578009,03:15:05,29:25:35
305828845765475035,14:00:16,112:40:12
306275589933283277,25:23:04,109:48:35
310470931442227493,01:03:57,51:23:05
311745909071821197,15:22:09,51:50:00
317071197431838664,31:51:13,85:22:50
320491314504503293,108:15:15,00:09:30
324737130170744338,03:03:43,58:41:22
325241388429901200,81:53:47,46:48:51
327085277641225014,59:16:22,72:02:32
328487196413370199,128:39:10,01:12:46
332573856100750857,37:13:30,23:39:02
342546232744333035,55:03:11,77:22:18
346732276444269746,128:44:00,00:10:08
348804969487166414,73:55:06,32:02:42
350233737331793992,53:13:01,18:03:50
355655264955650074,07:00:22,41:31:26
358227328268464841,108:00:18,00:00:00
359546471817196481,78:44:36,28:19:25
363904306866663453,65:26:54,08:36:22
364217790691395293,63:54:17,01:00:04
367590061114712815,26:42:13,24:24:15
368620176942129465,65:33:40,05:32:48
381861553361665328,14:01:04,96:22:23
384478236891792577,128:08:37,05:02:08
390698272497296040,13:43:38,52:46:13
391996128555104689,27:52:28,84:09:11
396145524999995952,01:04:57,52:08:35
399931815373935075,28:17:48,88:05:37
400616917847252076,80:26:20,40:13:49
404347378606512385,82:26:20,51:50:20
408215883090381458,19:21:01,40:30:21
408633776881253683,46:12:40,09:02:39
409133169015950892,05:01:19,65:27:57
412215526181885726,128:40:53,09:13:22
433914981197941777,106:44:22,01:02:02
438626569442631056,61:57:34,17:12:33
440453156974279943,38:54:32,00:00:00
444350742588893582,94:01:51,20:20:53
447762645128411304,105:41:35,07:01:18
450779712077345360,04:01:16,60:34:41
458437129236139637,22:27:14,18:07:13
460731081287471682,43:53:47,07:28:05
463165531088896590,38:36:13,05:58:56
466174055692751714,88:39:38,45:09:04
468220492602308428,94:02:47,20:16:23
472241310547045946,40:47:34,00:00:00
473287249846531099,25:10:28,19:13:15
474411767154024497,05:06:30,47:14:01
476662312967805097,15:10:29,23:54:07
476989989982947816,99:49:51,27:49:02
477610714184532373,06:17:43,29:22:17
478219350604909404,57:48:05,24:57:39
478727481664524694,41:23:58,02:00:32
478896200850284357,31:14:49,00:00:00
480765512456891135,108:44:52,11:25:38
480786736025745393,17:01:20,112:38:11
484972220587526424,76:39:23,49:14:33
486611266223411104,41:02:02,00:59:09
490019796074317549,26:58:31,21:33:34
490349604050913580,06:08:46,40:32:05
494584981462594241,51:13:48,18:15:34
495313929250899836,01:51:16,105:53:12
496703628090966470,29:33:38,06:17:19
496712378214607442,81:47:43,42:48:22
496858572677556540,28:10:46,21:30:09
497720491861994823,98:45:13,10:50:51
505566916207950598,20:32:17,13:54:34
505655202684150689,00:59:46,51:22:06
507804319554376363,81:09:12,26:55:06
508915149479805627,103:30:08,02:06:48
510053338185529807,13:59:51,95:16:52
512411722283237771,33:07:47,84:16:34
514003066631838188,12:51:21,40:28:20
520570944001354045,29:16:11,21:43:44
522491145885155717,42:52:37,22:15:29
523049297143591344,27:42:49,49:28:56
526348824583655238,134:08:28,29:46:30
529361514760244850,23:46:34,04:14:45
529637112805787107,128:53:45,03:07:47
531467153238340075,40:01:55,50:42:44
532194636927399453,29:24:47,79:45:30
534942062508143963,38:28:18,24:03:09
535230780733336888,78:28:49,00:00:00
539308991638256932,37:49:28,12:40:18
540245937967994765,42:46:01,04:57:46
540317706280046232,27:38:58,16:20:47
543231165637477856,01:07:00,52:37:30
546577610472588704,15:23:23,98:25:27
553149046217768978,13:48:16,112:47:53
554142261771605671,71:47:58,35:03:51
564267096330464927,58:45:04,00:00:00
572367105408911827,117:55:40,09:08:12
572603891092687104,21:20:07,13:55:44
577428373893501727,01:55:33,104:37:43
580069881451382554,53:05:44,00:42:41
588759970251697138,109:01:16,00:00:00
595271268828874670,41:24:05,02:50:59
595327076069621776,93:46:17,20:22:11
596215873525572046,83:50:24,53:47:15
597170428245480144,25:56:58,18:43:38
600699108575030362,85:44:13,20:04:42
601632978459741792,132:08:42,00:02:38
602588104481781638,100:58:53,15:59:55
604002583015702926,78:03:01,09:09:40
608065356919295001,03:02:12,46:22:26
608367747035643343,00:00:00,07:12:20
613649903511143917,25:00:03,05:56:49
616920902337581889,106:37:08,01:00:35
619131443606580972,41:12:52,39:56:32
619578683994787311,106:31:50,00:56:32
620212048775822349,42:56:42,74:42:41
620881390219367370,17:00:35,35:51:03
623221202101338607,108:39:28,12:33:24
625602762171570276,39:39:21,03:43:00
628669034391885094,98:05:49,08:01:33
634964964305827504,103:40:51,08:15:32
637127477775232375,24:18:14,06:25:15
640275386882480581,112:52:55,00:59:28
643075687403509142,85:48:47,31:35:30
645323677651534791,93:56:28,20:19:50
645700412112339860,05:01:56,54:16:22
646862635677872649,92:28:02,11:09:40
653341718272710088,39:12:23,02:34:42
657686733087973241,128:43:42,01:21:38
660172307253684706,17:46:34,47:30:59
660813193985177775,00:00:00,36:20:15
662223586915102846,38:04:23,14:53:43
668776107595557135,106:39:20,01:01:22
669736136423988928,46:42:12,01:48:53
671077842091933239,66:06:26,11:52:48
671979590409837016,29:26:01,22:33:41
673868605448349878,14:04:47,112:33:48
685515611868750216,129:39:50,06:21:28
686436119849070400,23:18:13,08:44:26
688141679886528150,16:57:20,37:37:14
689758345096433335,24:10:36,82:59:23
690342248357041360,14:06:59,75:11:31
690952768266334262,41:30:43,39:22:27
